file,timestamp,line,event_type,total_tokens,input_tokens,cached_input_tokens,output_tokens,uncached_input_tokens,delta_total_tokens,delta_cached_input_tokens,delta_uncached_input_tokens
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:54.186Z,318,event_msg,162947,162545,161664,402,881,-3249347,-2924672,-292445
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:01.507Z,324,event_msg,3577301,3544411,3248512,32890,295899,3414354,3086848,295018
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:01.507Z,324,event_msg,165007,164749,162176,258,2573,-3412294,-3086336,-293326
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:13.826Z,336,event_msg,3742786,3709470,3413248,33316,296222,3577779,3251072,293649
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:13.826Z,336,event_msg,165485,165059,164736,426,323,-3577301,-3248512,-295899
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:24.956Z,340,event_msg,3909248,3875434,3577984,33814,297450,3743763,3413248,297127
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:18:24.956Z,340,event_msg,166462,165964,164736,498,1228,-3742786,-3413248,-296222
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:12.967Z,28,event_msg,28955,28498,2432,457,26066,,,
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:12.967Z,28,event_msg,28955,28498,2432,457,26066,0,0,0
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:28.537Z,38,event_msg,63603,62460,30464,1143,31996,34648,28032,5930
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:28.537Z,38,event_msg,34648,33962,28032,686,5930,-28955,-2432,-26066
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:39.149Z,50,event_msg,102027,100464,64128,1563,36336,67379,36096,30406
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:39.149Z,50,event_msg,38424,38004,33664,420,4340,-63603,-30464,-31996
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:51.108Z,62,event_msg,145075,143048,101888,2027,41160,106651,68224,36820
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:21:51.108Z,62,event_msg,43048,42584,37760,464,4824,-102027,-64128,-36336
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:22:03.470Z,74,event_msg,207066,204572,104320,2494,100252,164018,66560,95428
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:22:03.470Z,74,event_msg,61991,61524,2432,467,59092,-145075,-101888,-41160
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:22:12.324Z,82,event_msg,275277,272481,165632,2796,106849,213286,163200,47757
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:22:12.324Z,82,event_msg,68211,67909,61312,302,6597,-207066,-104320,-100252
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:24:54.700Z,88,event_msg,355587,344528,233088,11059,111440,287376,171776,104843
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:24:54.700Z,88,event_msg,80310,72047,67456,8263,4591,-275277,-165632,-106849
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:06.811Z,94,event_msg,436706,425343,235520,11363,189823,356396,168064,185232
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:06.811Z,94,event_msg,81119,80815,2432,304,78383,-355587,-233088,-111440
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:23.346Z,97,event_msg,519517,508019,315776,11498,192243,438398,313344,113860
